"ProductID","price","rating"
"B001E4KFG0","140","3.43"
"B00813GRG4","183","3.91"
"B000LQOCH0","160","4.60"
"B000UA0QIQ","161","3.64"
"B006K2ZZ7K","157","1.76"
"B000E7L2R4","148","0.48"
"B00171APVA","184","1.00"
"B0001PB9FE","148","0.29"
"B0009XLVG0","116","2.36"
"B001GVISJM","177","0.61"
"B00144C10S","182","1.86"
"B0001PB9FY","183","0.19"
"B003F6UO7K","141","2.70"
"B001EO5QW8","165","3.74"
"B000G6RPMY","111","0.38"
"B002GWHC0G","165","0.26"
"B004N5KULM","166","3.23"
"B001EO5TPM","161","2.11"
"B005DUM9UQ","138","0.24"
"B000E7VI7S","103","1.99"
"B001GVISJC","81","2.47"
"B006SQBRMA","188","3.97"
"B0059WXJKM","148","3.73"
"B001EPPI84","184","4.21"
"B004X2KR36","126","2.74"
"B005R8JE8O","83","4.34"
"B0066DMI6Y","148","1.90"
"B003ZFRKGO","191","1.59"
"B0019CW0HE","178","0.43"
"B004K2IHUO","175","2.82"
"B001REEG6C","100","2.44"
"B000J0HIT2","180","2.70"
"B0037LW78C","195","4.55"
"B0026Y3YBK","180","3.26"
"B003SE19UK","160","3.48"
"B003OB0IB8","133","4.08"
"B002SRYRE8","189","4.67"
"B001GVISJW","144","2.05"
"B0017I8UME","139","0.43"
"B0064KU9HO","159","1.15"
"B0037ZFEW4","117","4.85"
"B00374XSVY","120","4.70"
"B005P0HHGK","170","0.10"
"B002HQAXUW","165","3.68"
"B000SV90J8","118","3.22"
"B0036VM05I","174","1.72"
"B000ITVLE2","126","0.84"
"B003TQQKFQ","113","4.55"
"B007B9J6G2","80","4.18"
"B0064KO0BU","157","0.74"
"B001IUKD76","89","4.58"
"B0081XN2HQ","129","3.51"
"B0025VRCJY","153","3.91"
"B005CJVVJ8","108","4.05"
"B001KUUNP6","178","0.74"
"B000NY8ODS","162","1.08"
"B00029XIZI","81","2.59"
"B004V6AH34","103","4.24"
"B0028C44Z0","151","2.22"
"B0009XLVGA","195","2.11"
"B002TDK0VK","196","4.80"
"B0040WAG7Q","90","2.20"
"B001EO5ZMO","178","1.04"
"B001SATU8E","166","1.91"
"B007JFV6RK","197","2.89"
"B001L4ELRW","108","1.53"
"B003SO503C","162","0.60"
"B003ZFXJDW","110","4.11"
"B001HTL6CY","160","4.26"
"B000WFRMRW","174","1.13"
"B001EO5ZME","156","0.64"
"B0093NIWVO","127","0.31"
"B001EO5ZMY","114","2.66"
"B007TFONH0","152","2.15"
"B000GGKQSO","185","0.83"
"B007J32WX4","104","2.29"
"B0017129DC","159","0.45"
"B0002567IW","163","3.53"
"B0048IC328","88","2.29"
"B0025WIAN0","82","0.77"
"B00821UN4M","153","3.47"
"B00473RWXY","150","3.48"
"B002MV23XM","148","1.89"
"B000LKZK7C","194","0.88"
"B001D07IPG","197","3.93"
"B000H13270","80","3.52"
"B001UJEN6C","99","4.63"
"B003EMU7EU","114","4.56"
"B0064KOUNI","152","3.98"
"B003YDP5PA","169","4.98"
"B002X9JNYU","171","2.61"
"B001EPQ0J0","150","3.09"
"B000O9Y62A","97","4.59"
"B00283TPYE","100","2.94"
"B001FB69YY","98","2.24"
"B004OYBN7C","81","1.29"
"B000JEHAHS","133","0.12"
"B003VTN95K","197","1.84"
"B007DJ0O9I","94","4.31"
